measure,location,sex,age,rei,year,val
YLDs (Years Lived with Disability),South Carolina,Male,75-79 years,Diet high in processed meat,1990,307.3669348
YLDs (Years Lived with Disability),South Carolina,Male,95+ years,Diet low in whole grains,1990,80.64981812
YLDs (Years Lived with Disability),South Dakota,Male,30-34 years,Diet high in processed meat,1990,8.123319373
YLDs (Years Lived with Disability),Tennessee,Male,95+ years,Diet low in whole grains,1990,82.13918734
YLDs (Years Lived with Disability),Tennessee,Male,80-84 years,Diet low in fruits,1990,56.84311262
YLDs (Years Lived with Disability),Texas,Male,30-34 years,Diet low in vegetables,1990,0.071060661
YLDs (Years Lived with Disability),Texas,Female,70-74 years,Diet low in fiber,1990,14.70546559
YLDs (Years Lived with Disability),Texas,Male,40-44 years,Diet low in vegetables,1990,0.272806629
YLDs (Years Lived with Disability),Texas,Female,35-39 years,Diet high in processed meat,1990,20.5380393
YLDs (Years Lived with Disability),Utah,Female,25-29 years,Diet high in sugar-sweetened beverages,1990,2.422138815
YLDs (Years Lived with Disability),Utah,Female,55-59 years,Diet high in sugar-sweetened beverages,1990,56.73357674
YLDs (Years Lived with Disability),Utah,Female,40-44 years,Diet high in processed meat,1990,30.62880233
YLDs (Years Lived with Disability),Vermont,Female,60-64 years,Diet high in sugar-sweetened beverages,1990,66.76048029
YLDs (Years Lived with Disability),Vermont,Male,55-59 years,Diet low in fiber,1990,12.69868132
YLDs (Years Lived with Disability),Vermont,Female,85-89 years,Diet low in whole grains,1990,72.76697872
YLDs (Years Lived with Disability),Vermont,Female,65-69 years,Diet high in red meat,1990,97.1829603
YLDs (Years Lived with Disability),Virginia,Male,50-54 years,Diet low in vegetables,1990,0.79832896
YLDs (Years Lived with Disability),Virginia,Male,85-89 years,Diet high in red meat,1990,85.15332702
YLDs (Years Lived with Disability),Virginia,Male,30-34 years,Diet low in vegetables,1990,0.055556095
YLDs (Years Lived with Disability),Virginia,Male,30-34 years,Diet high in red meat,1990,5.040063929
YLDs (Years Lived with Disability),Washington,Male,85-89 years,Diet low in vegetables,1990,1.533631615
YLDs (Years Lived with Disability),West Virginia,Female,85-89 years,Diet low in vegetables,1990,1.908868795
YLDs (Years Lived with Disability),West Virginia,Female,90-94 years,Diet low in fruits,1990,53.73766381
YLDs (Years Lived with Disability),West Virginia,Male,45-49 years,Diet low in fiber,1990,7.434798445
YLDs (Years Lived with Disability),Wisconsin,Male,50-54 years,Diet low in vegetables,1990,0.719186291
YLDs (Years Lived with Disability),Wisconsin,Female,75-79 years,Diet low in fiber,1990,17.93692405
YLDs (Years Lived with Disability),Wisconsin,Male,90-94 years,Diet low in whole grains,1990,118.4408369
YLDs (Years Lived with Disability),Wyoming,Male,50-54 years,Diet low in whole grains,1990,32.6400297
YLDs (Years Lived with Disability),Wyoming,Male,90-94 years,Diet low in whole grains,1990,96.6231335
YLDs (Years Lived with Disability),Alabama,Female,35-39 years,Diet low in vegetables,1991,0.17297104
YLDs (Years Lived with Disability),Alaska,Male,30-34 years,Diet low in vegetables,1991,0.057318211
YLDs (Years Lived with Disability),Alaska,Male,70-74 years,Diet high in processed meat,1991,287.6637484
YLDs (Years Lived with Disability),Arizona,Female,75-79 years,Diet high in sugar-sweetened beverages,1991,71.44812042
YLDs (Years Lived with Disability),Arizona,Female,50-54 years,Diet high in processed meat,1991,94.94450952
YLDs (Years Lived with Disability),Arizona,Female,75-79 years,Diet low in vegetables,1991,1.086403656
YLDs (Years Lived with Disability),Arkansas,Male,25-29 years,Diet high in processed meat,1991,3.817763767
YLDs (Years Lived with Disability),Arkansas,Female,25-29 years,Diet low in whole grains,1991,1.969827694
YLDs (Years Lived with Disability),Arkansas,Male,80-84 years,Diet high in red meat,1991,96.76180649
YLDs (Years Lived with Disability),California,Female,95+ years,Diet low in vegetables,1991,0.742736152
YLDs (Years Lived with Disability),Colorado,Male,45-49 years,Diet low in vegetables,1991,0.300497006
YLDs (Years Lived with Disability),Connecticut,Female,65-69 years,Diet high in red meat,1991,96.52106417
YLDs (Years Lived with Disability),Connecticut,Female,35-39 years,Diet low in fiber,1991,1.133851333
YLDs (Years Lived with Disability),Delaware,Female,45-49 years,Diet low in whole grains,1991,15.6206415
YLDs (Years Lived with Disability),Delaware,Female,80-84 years,Diet high in red meat,1991,99.54297347
YLDs (Years Lived with Disability),District of Columbia,Male,65-69 years,Diet low in whole grains,1991,73.01274915
YLDs (Years Lived with Disability),Georgia,Male,55-59 years,Diet low in fruits,1991,31.07385365
YLDs (Years Lived with Disability),Georgia,Male,75-79 years,Diet low in vegetables,1991,2.516257763
YLDs (Years Lived with Disability),Georgia,Female,80-84 years,Diet low in whole grains,1991,57.79299393
YLDs (Years Lived with Disability),Hawaii,Female,30-34 years,Diet high in sugar-sweetened beverages,1991,7.389150342
YLDs (Years Lived with Disability),Idaho,Female,45-49 years,Diet low in fiber,1991,4.134940154
YLDs (Years Lived with Disability),Idaho,Male,65-69 years,Diet low in fruits,1991,49.53384821
YLDs (Years Lived with Disability),Idaho,Female,85-89 years,Diet high in sugar-sweetened beverages,1991,39.90292078
YLDs (Years Lived with Disability),Idaho,Female,25-29 years,Diet high in red meat,1991,2.368429821
YLDs (Years Lived with Disability),Idaho,Male,55-59 years,Diet low in fruits,1991,28.75591787
YLDs (Years Lived with Disability),Illinois,Male,70-74 years,Diet low in vegetables,1991,2.209717747
YLDs (Years Lived with Disability),Illinois,Female,30-34 years,Diet low in fiber,1991,0.781629887
YLDs (Years Lived with Disability),Indiana,Female,45-49 years,Diet high in sugar-sweetened beverages,1991,32.26278137
YLDs (Years Lived with Disability),Kansas,Female,40-44 years,Diet high in processed meat,1991,30.99937605
YLDs (Years Lived with Disability),Kansas,Male,75-79 years,Diet high in processed meat,1991,288.2370248
YLDs (Years Lived with Disability),Kentucky,Male,70-74 years,Diet low in fruits,1991,70.95505812
YLDs (Years Lived with Disability),Maine,Male,80-84 years,Diet low in vegetables,1991,2.180955749
YLDs (Years Lived with Disability),Maine,Male,50-54 years,Diet low in whole grains,1991,43.5524352
YLDs (Years Lived with Disability),Maine,Male,35-39 years,Diet low in fiber,1991,1.665644169
YLDs (Years Lived with Disability),Maine,Female,80-84 years,Diet low in fiber,1991,20.39730344
YLDs (Years Lived with Disability),Maryland,Female,95+ years,Diet low in fiber,1991,13.26589434
YLDs (Years Lived with Disability),Maryland,Male,65-69 years,Diet low in whole grains,1991,81.20482399
YLDs (Years Lived with Disability),Maryland,Female,50-54 years,Diet low in fruits,1991,18.7623741
YLDs (Years Lived with Disability),Massachusetts,Male,50-54 years,Diet low in vegetables,1991,0.872497565
YLDs (Years Lived with Disability),Massachusetts,Female,50-54 years,Diet low in fiber,1991,6.344599463
YLDs (Years Lived with Disability),Massachusetts,Male,70-74 years,Diet high in red meat,1991,138.6055003
YLDs (Years Lived with Disability),Michigan,Male,40-44 years,Diet high in red meat,1991,23.35973305
YLDs (Years Lived with Disability),Michigan,Male,70-74 years,Diet low in fiber,1991,19.8009676
YLDs (Years Lived with Disability),Mississippi,Female,95+ years,Diet low in whole grains,1991,57.90831424
YLDs (Years Lived with Disability),Missouri,Male,70-74 years,Diet low in fruits,1991,53.18392112
YLDs (Years Lived with Disability),Montana,Female,30-34 years,Diet high in processed meat,1991,8.253716452
YLDs (Years Lived with Disability),Montana,Female,45-49 years,Diet low in vegetables,1991,0.255721797
YLDs (Years Lived with Disability),Nebraska,Male,80-84 years,Diet low in vegetables,1991,2.143548641
YLDs (Years Lived with Disability),Nebraska,Male,65-69 years,Diet low in whole grains,1991,77.26911955
YLDs (Years Lived with Disability),Nebraska,Female,45-49 years,Diet high in processed meat,1991,58.08746788
YLDs (Years Lived with Disability),Nevada,Female,55-59 years,Diet high in sugar-sweetened beverages,1991,62.11921546
YLDs (Years Lived with Disability),Nevada,Male,75-79 years,Diet low in whole grains,1991,77.1612249
YLDs (Years Lived with Disability),Nevada,Female,90-94 years,Diet high in processed meat,1991,148.5062496
YLDs (Years Lived with Disability),Nevada,Female,25-29 years,Diet low in fiber,1991,0.469090152
YLDs (Years Lived with Disability),New Hampshire,Male,30-34 years,Diet high in processed meat,1991,8.515290054
YLDs (Years Lived with Disability),New Jersey,Female,80-84 years,Diet low in fruits,1991,23.54027864
YLDs (Years Lived with Disability),New Mexico,Female,30-34 years,Diet low in vegetables,1991,0.071161185
YLDs (Years Lived with Disability),New Mexico,Female,65-69 years,Diet low in whole grains,1991,54.10253651
YLDs (Years Lived with Disability),New York,Female,85-89 years,Diet high in sugar-sweetened beverages,1991,47.14981575
YLDs (Years Lived with Disability),New York,Female,75-79 years,Diet low in whole grains,1991,42.90257897
YLDs (Years Lived with Disability),New York,Male,50-54 years,Diet low in fiber,1991,8.09250262
YLDs (Years Lived with Disability),New York,Female,70-74 years,Diet high in sugar-sweetened beverages,1991,82.69563149
YLDs (Years Lived with Disability),North Dakota,Male,85-89 years,Diet low in vegetables,1991,1.609704505
YLDs (Years Lived with Disability),Ohio,Female,70-74 years,Diet low in vegetables,1991,1.126326131
YLDs (Years Lived with Disability),Oklahoma,Female,65-69 years,Diet low in fiber,1991,13.76105859
YLDs (Years Lived with Disability),Oregon,Female,30-34 years,Diet high in red meat,1991,4.740077842
YLDs (Years Lived with Disability),Pennsylvania,Male,55-59 years,Diet low in whole grains,1991,59.42550605
YLDs (Years Lived with Disability),Pennsylvania,Female,35-39 years,Diet low in fiber,1991,1.357603199
YLDs (Years Lived with Disability),Rhode Island,Female,90-94 years,Diet low in whole grains,1991,44.44987283
YLDs (Years Lived with Disability),South Carolina,Female,60-64 years,Diet high in red meat,1991,108.8890687
YLDs (Years Lived with Disability),Tennessee,Male,60-64 years,Diet high in red meat,1991,150.2398061
YLDs (Years Lived with Disability),Tennessee,Female,75-79 years,Diet high in sugar-sweetened beverages,1991,78.46135958
YLDs (Years Lived with Disability),Texas,Male,50-54 years,Diet low in whole grains,1991,42.82856193
YLDs (Years Lived with Disability),Texas,Male,45-49 years,Diet high in red meat,1991,52.76676214
YLDs (Years Lived with Disability),Utah,Male,95+ years,Diet high in red meat,1991,73.98719741
YLDs (Years Lived with Disability),Utah,Female,75-79 years,Diet low in whole grains,1991,58.80531548
YLDs (Years Lived with Disability),Vermont,Female,85-89 years,Diet high in processed meat,1991,168.1891401
YLDs (Years Lived with Disability),Vermont,Female,50-54 years,Diet high in processed meat,1991,95.71017039
YLDs (Years Lived with Disability),Virginia,Female,80-84 years,Diet low in fruits,1991,38.03230149
YLDs (Years Lived with Disability),West Virginia,Female,70-74 years,Diet low in fiber,1991,20.45802864
YLDs (Years Lived with Disability),West Virginia,Female,55-59 years,Diet low in whole grains,1991,43.83748249
YLDs (Years Lived with Disability),Wisconsin,Male,75-79 years,Diet low in whole grains,1991,86.02077768
YLDs (Years Lived with Disability),Wisconsin,Female,85-89 years,Diet low in fruits,1991,26.50478962
YLDs (Years Lived with Disability),Wisconsin,Female,50-54 years,Diet low in fruits,1991,17.54833986
YLDs (Years Lived with Disability),Wyoming,Male,95+ years,Diet low in whole grains,1991,61.39394847
YLDs (Years Lived with Disability),Wyoming,Female,55-59 years,Diet high in sugar-sweetened beverages,1991,56.13268054
YLDs (Years Lived with Disability),Alaska,Male,80-84 years,Diet high in red meat,1992,119.2935958
YLDs (Years Lived with Disability),Alaska,Male,80-84 years,Diet low in vegetables,1992,1.485267344
YLDs (Years Lived with Disability),Arkansas,Female,40-44 years,Diet low in whole grains,1992,9.442339608
YLDs (Years Lived with Disability),Arkansas,Male,55-59 years,Diet low in fiber,1992,13.14091413
YLDs (Years Lived with Disability),California,Female,65-69 years,Diet high in processed meat,1992,183.8429789
YLDs (Years Lived with Disability),California,Female,65-69 years,Diet low in whole grains,1992,39.83226804
YLDs (Years Lived with Disability),Colorado,Male,75-79 years,Diet low in fruits,1992,31.24074364
YLDs (Years Lived with Disability),Connecticut,Male,70-74 years,Diet high in red meat,1992,133.297172
YLDs (Years Lived with Disability),District of Columbia,Female,35-39 years,Diet low in vegetables,1992,0.153723326
YLDs (Years Lived with Disability),District of Columbia,Female,40-44 years,Diet high in red meat,1992,20.10697847
YLDs (Years Lived with Disability),Florida,Female,50-54 years,Diet low in fruits,1992,15.7417915
YLDs (Years Lived with Disability),Hawaii,Male,55-59 years,Diet low in vegetables,1992,1.3217766
YLDs (Years Lived with Disability),Hawaii,Female,85-89 years,Diet high in processed meat,1992,144.6787026
YLDs (Years Lived with Disability),Idaho,Male,45-49 years,Diet low in fiber,1992,5.376169234
YLDs (Years Lived with Disability),Idaho,Male,95+ years,Diet low in fiber,1992,16.96896383
YLDs (Years Lived with Disability),Idaho,Female,40-44 years,Diet high in red meat,1992,16.6190243
YLDs (Years Lived with Disability),Idaho,Female,30-34 years,Diet low in fiber,1992,0.804847347
YLDs (Years Lived with Disability),Illinois,Male,45-49 years,Diet low in fiber,1992,5.260887822
YLDs (Years Lived with Disability),Illinois,Male,55-59 years,Diet high in sugar-sweetened beverages,1992,83.05204313
YLDs (Years Lived with Disability),Illinois,Male,30-34 years,Diet high in sugar-sweetened beverages,1992,6.112034283
YLDs (Years Lived with Disability),Indiana,Male,45-49 years,Diet low in vegetables,1992,0.690104743
YLDs (Years Lived with Disability),Indiana,Male,50-54 years,Diet high in processed meat,1992,167.1635065
YLDs (Years Lived with Disability),Indiana,Female,70-74 years,Diet low in fiber,1992,17.74831917
YLDs (Years Lived with Disability),Kansas,Male,90-94 years,Diet low in whole grains,1992,101.9661781
YLDs (Years Lived with Disability),Kansas,Female,45-49 years,Diet low in vegetables,1992,0.305463139
YLDs (Years Lived with Disability),Kentucky,Male,70-74 years,Diet high in red meat,1992,162.2968605
YLDs (Years Lived with Disability),Louisiana,Female,35-39 years,Diet low in fiber,1992,2.002349708
YLDs (Years Lived with Disability),Louisiana,Female,30-34 years,Diet low in fiber,1992,1.173836814
YLDs (Years Lived with Disability),Louisiana,Female,60-64 years,Diet low in fruits,1992,39.88622505
YLDs (Years Lived with Disability),Maine,Female,90-94 years,Diet low in fiber,1992,28.7594567
YLDs (Years Lived with Disability),Maine,Female,55-59 years,Diet low in fruits,1992,16.44981926
YLDs (Years Lived with Disability),Maryland,Female,85-89 years,Diet low in fruits,1992,20.17531666
YLDs (Years Lived with Disability),Massachusetts,Female,90-94 years,Diet low in vegetables,1992,1.37348868
YLDs (Years Lived with Disability),Massachusetts,Female,80-84 years,Diet low in whole grains,1992,47.34753738
YLDs (Years Lived with Disability),Michigan,Female,35-39 years,Diet high in processed meat,1992,20.40697855
YLDs (Years Lived with Disability),Minnesota,Male,30-34 years,Diet low in whole grains,1992,2.926841464
YLDs (Years Lived with Disability),Mississippi,Female,60-64 years,Diet low in whole grains,1992,56.39295609
YLDs (Years Lived with Disability),Missouri,Female,95+ years,Diet low in vegetables,1992,1.278304318
YLDs (Years Lived with Disability),Nebraska,Female,50-54 years,Diet high in processed meat,1992,99.78875479
YLDs (Years Lived with Disability),Nebraska,Male,35-39 years,Diet high in red meat,1992,11.37116217
YLDs (Years Lived with Disability),Nevada,Male,25-29 years,Diet low in whole grains,1992,1.781779211
YLDs (Years Lived with Disability),New Hampshire,Male,35-39 years,Diet high in red meat,1992,9.798521405
YLDs (Years Lived with Disability),New Hampshire,Female,90-94 years,Diet low in whole grains,1992,43.73808713
YLDs (Years Lived with Disability),New Hampshire,Male,95+ years,Diet low in whole grains,1992,70.96235657
YLDs (Years Lived with Disability),New Hampshire,Male,85-89 years,Diet low in whole grains,1992,111.2883065
YLDs (Years Lived with Disability),New Hampshire,Female,45-49 years,Diet low in fiber,1992,3.698623471
YLDs (Years Lived with Disability),New Hampshire,Male,30-34 years,Diet low in whole grains,1992,3.193212785
YLDs (Years Lived with Disability),New Jersey,Female,65-69 years,Diet low in fruits,1992,25.07558323
YLDs (Years Lived with Disability),New Jersey,Female,50-54 years,Diet low in fruits,1992,9.854817577
YLDs (Years Lived with Disability),New Jersey,Female,45-49 years,Diet high in processed meat,1992,56.4127431
YLDs (Years Lived with Disability),New Mexico,Male,70-74 years,Diet high in processed meat,1992,320.31572
YLDs (Years Lived with Disability),New Mexico,Female,80-84 years,Diet low in fiber,1992,21.02048057
YLDs (Years Lived with Disability),New York,Female,70-74 years,Diet low in whole grains,1992,45.15042351
YLDs (Years Lived with Disability),New York,Female,70-74 years,Diet high in sugar-sweetened beverages,1992,87.10361174
YLDs (Years Lived with Disability),North Carolina,Female,75-79 years,Diet low in fruits,1992,41.40013861
YLDs (Years Lived with Disability),North Dakota,Female,25-29 years,Diet high in sugar-sweetened beverages,1992,2.736440467
YLDs (Years Lived with Disability),Ohio,Male,65-69 years,Diet low in fiber,1992,19.16065964
YLDs (Years Lived with Disability),Ohio,Male,90-94 years,Diet low in fiber,1992,25.98727816
YLDs (Years Lived with Disability),Oklahoma,Male,40-44 years,Diet low in whole grains,1992,14.51021097
YLDs (Years Lived with Disability),Oregon,Female,40-44 years,Diet high in processed meat,1992,29.72966501
YLDs (Years Lived with Disability),Pennsylvania,Female,30-34 years,Diet low in whole grains,1992,2.877345231
YLDs (Years Lived with Disability),Pennsylvania,Female,45-49 years,Diet low in whole grains,1992,14.89656164
YLDs (Years Lived with Disability),Pennsylvania,Male,90-94 years,Diet high in sugar-sweetened beverages,1992,55.97955835
YLDs (Years Lived with Disability),Pennsylvania,Male,70-74 years,Diet high in sugar-sweetened beverages,1992,102.4322957
YLDs (Years Lived with Disability),South Carolina,Female,80-84 years,Diet low in fiber,1992,21.34449161
YLDs (Years Lived with Disability),South Carolina,Female,25-29 years,Diet high in processed meat,1992,6.057648672
YLDs (Years Lived with Disability),Tennessee,Male,30-34 years,Diet low in whole grains,1992,4.32849241
YLDs (Years Lived with Disability),Tennessee,Male,30-34 years,Diet high in sugar-sweetened beverages,1992,6.960549388
YLDs (Years Lived with Disability),Tennessee,Female,45-49 years,Diet high in red meat,1992,39.68003263
YLDs (Years Lived with Disability),Texas,Female,30-34 years,Diet high in processed meat,1992,12.15837087
YLDs (Years Lived with Disability),Texas,Female,90-94 years,Diet high in processed meat,1992,143.626812
YLDs (Years Lived with Disability),Utah,Female,80-84 years,Diet high in red meat,1992,102.8739768
YLDs (Years Lived with Disability),Utah,Male,55-59 years,Diet low in fruits,1992,27.43999035
YLDs (Years Lived with Disability),Utah,Male,80-84 years,Diet high in sugar-sweetened beverages,1992,72.81777784
YLDs (Years Lived with Disability),Vermont,Male,35-39 years,Diet high in red meat,1992,10.212039
YLDs (Years Lived with Disability),Washington,Male,65-69 years,Diet high in processed meat,1992,280.5264277
YLDs (Years Lived with Disability),Washington,Female,50-54 years,Diet high in sugar-sweetened beverages,1992,44.86214979
YLDs (Years Lived with Disability),West Virginia,Female,95+ years,Diet low in fiber,1992,18.99948107
YLDs (Years Lived with Disability),West Virginia,Male,85-89 years,Diet low in fruits,1992,15.2341902
YLDs (Years Lived with Disability),Wisconsin,Male,90-94 years,Diet high in processed meat,1992,242.2141373
YLDs (Years Lived with Disability),Alabama,Female,85-89 years,Diet low in vegetables,1993,2.168260718
YLDs (Years Lived with Disability),Alabama,Female,80-84 years,Diet high in sugar-sweetened beverages,1993,75.1053712
YLDs (Years Lived with Disability),Alaska,Female,80-84 years,Diet high in red meat,1993,115.0282784
YLDs (Years Lived with Disability),Alaska,Male,50-54 years,Diet low in vegetables,1993,0.662673285
YLDs (Years Lived with Disability),Alaska,Female,60-64 years,Diet high in red meat,1993,105.2906288
YLDs (Years Lived with Disability),Arkansas,Female,35-39 years,Diet low in fiber,1993,1.863247552
YLDs (Years Lived with Disability),Arkansas,Female,70-74 years,Diet high in processed meat,1993,240.2717921
YLDs (Years Lived with Disability),California,Female,50-54 years,Diet low in vegetables,1993,0.279635074
YLDs (Years Lived with Disability),California,Female,45-49 years,Diet low in vegetables,1993,0.143998234
YLDs (Years Lived with Disability),Connecticut,Male,85-89 years,Diet low in fruits,1993,18.73433806
YLDs (Years Lived with Disability),Delaware,Male,75-79 years,Diet high in sugar-sweetened beverages,1993,121.4938426
YLDs (Years Lived with Disability),Florida,Male,90-94 years,Diet low in vegetables,1993,1.992900574
YLDs (Years Lived with Disability),Florida,Female,70-74 years,Diet low in whole grains,1993,49.91392569
YLDs (Years Lived with Disability),Florida,Male,55-59 years,Diet low in fruits,1993,24.60831484
YLDs (Years Lived with Disability),Georgia,Female,65-69 years,Diet low in fiber,1993,15.88598265
YLDs (Years Lived with Disability),Hawaii,Male,45-49 years,Diet low in fruits,1993,14.62493767
YLDs (Years Lived with Disability),Hawaii,Female,35-39 years,Diet low in fiber,1993,1.544309921
YLDs (Years Lived with Disability),Idaho,Female,50-54 years,Diet low in whole grains,1993,24.30429265
YLDs (Years Lived with Disability),Illinois,Female,35-39 years,Diet high in red meat,1993,10.20892371
YLDs (Years Lived with Disability),Iowa,Male,40-44 years,Diet low in fiber,1993,2.517236249
YLDs (Years Lived with Disability),Iowa,Male,45-49 years,Diet low in vegetables,1993,0.501748095
YLDs (Years Lived with Disability),Kentucky,Female,45-49 years,Diet low in vegetables,1993,0.549640713
YLDs (Years Lived with Disability),Kentucky,Female,45-49 years,Diet low in whole grains,1993,19.70481173
YLDs (Years Lived with Disability),Kentucky,Female,75-79 years,Diet high in red meat,1993,116.5877981
YLDs (Years Lived with Disability),Maine,Female,25-29 years,Diet low in fiber,1993,0.418506421
YLDs (Years Lived with Disability),Maine,Female,80-84 years,Diet low in vegetables,1993,1.703528256
YLDs (Years Lived with Disability),Massachusetts,Male,75-79 years,Diet low in whole grains,1993,79.71428565
YLDs (Years Lived with Disability),Michigan,Male,85-89 years,Diet high in processed meat,1993,245.3885504
YLDs (Years Lived with Disability),Michigan,Male,60-64 years,Diet low in fruits,1993,19.85798948
YLDs (Years Lived with Disability),Michigan,Male,65-69 years,Diet high in red meat,1993,145.262493
YLDs (Years Lived with Disability),Minnesota,Male,30-34 years,Diet low in fiber,1993,0.635379941
YLDs (Years Lived with Disability),Minnesota,Female,85-89 years,Diet high in red meat,1993,56.12943361
YLDs (Years Lived with Disability),Missouri,Female,55-59 years,Diet high in red meat,1993,88.62751746
YLDs (Years Lived with Disability),Missouri,Female,30-34 years,Diet high in red meat,1993,6.512742502
YLDs (Years Lived with Disability),Missouri,Male,45-49 years,Diet low in fiber,1993,5.905960971
YLDs (Years Lived with Disability),Montana,Female,45-49 years,Diet low in fruits,1993,10.21873783
YLDs (Years Lived with Disability),Nevada,Male,85-89 years,Diet low in whole grains,1993,105.7484854
YLDs (Years Lived with Disability),New Hampshire,Female,60-64 years,Diet low in fiber,1993,9.802596234
YLDs (Years Lived with Disability),New Hampshire,Female,80-84 years,Diet low in whole grains,1993,50.34456889
YLDs (Years Lived with Disability),New Jersey,Male,45-49 years,Diet low in whole grains,1993,24.68015813
YLDs (Years Lived with Disability),New Jersey,Female,35-39 years,Diet low in fruits,1993,3.569824862
